nu,[0]CH4-HITRAN:X=0.05-T=296K-P=1atm-L=300cm
6016.068,0.02796335309968405
6016.081,0.026656182852090197
6016.094,0.025514540879835318
6016.107,0.024536438203476656
6016.12,0.023711275893390293
6016.133,0.023005971383952658
6016.146,0.022357900743030873
6016.159,0.021697582828557938
6016.172,0.020998325694792812
6016.185,0.020298880958569843
6016.198,0.019673518734373903
6016.211,0.019192725542857104
6016.224,0.01890898287796964
6016.237,0.01886052995781254
6016.25,0.019070268739834084
6016.263,0.01951865739716293
6016.276,0.020088180775958437
6016.289,0.020543770722082154
6016.302,0.020666361222410997
6016.315,0.020463405151256837
6016.328,0.02015173687788381
6016.341,0.019921902328095153
6016.354,0.019807123915856262
6016.367,0.019753087123277727
6016.38,0.019754343281025738
6016.393,0.019903820587787713
6016.406,0.020314186774871845
6016.419,0.021008502172214637
6016.432,0.021848922504096924
6016.445,0.02251236726471245
6016.458,0.022580489175517002
6016.471,0.021789173854764747
6016.484,0.020241665809958828
6016.497,0.01832129370967106
6016.51,0.01641220997059685
6016.523,0.014733298769527512
6016.536,0.013349277076630141
6016.549,0.0122431651837959
6016.562,0.011371034630230894
6016.575,0.010687694861291258
6016.588,0.010154246584693653
6016.601,0.009737158436236126
6016.614,0.009405066368362558
6016.627,0.009128960557183487
6016.64,0.008888873309149035
6016.653,0.008680603624045482
6016.666,0.008511833088385441
6016.679,0.00838974975930877
6016.692,0.008311850279274335
6016.705,0.008266348277579763
6016.718,0.00824152872387727
6016.731,0.008235518040473394
6016.744,0.008254490649404572
6016.757,0.008302164011218086
6016.77,0.008377259128640204
6016.783,0.00848439079911754
6016.796,0.008644736838503999
6016.809,0.008894359282440253
6016.822,0.009275871491759043
6016.835,0.00983438207358897
6016.848,0.010619452532490085
6016.861,0.011690230796422585
6016.874,0.013122251793246014
6016.887,0.015008429142324834
6016.9,0.017428244940555213
6016.913,0.020340992265690232
6016.926,0.02337286557404285
6016.939,0.025637834357126285
6016.952,0.026064398050990523
6016.965,0.02432326104555327
6016.978,0.021206633046565303
6016.991,0.017844458083259993
6017.004,0.014921688180646375
6017.017,0.01262210536781602
6017.03,0.01088418313535306
6017.043,0.009585324258930014
6017.056,0.008613739050207044
6017.069,0.007884696773284695
6017.082,0.007338488246537459
6017.095,0.006934613130905575
6017.108,0.00664649017582006
6017.121,0.006457586883056162
6017.134,0.006358633913158291
6017.147,0.006344558860426789
6017.16,0.006408225050223528
6017.173,0.006528890724487217
6017.186,0.006663339486910167
6017.199,0.0067589281526039685
6017.212,0.006786970948162112
6017.225,0.006756652536264058
6017.238,0.006698972316960283
6017.251,0.006654978832824936
6017.264,0.006670110005356504
6017.277,0.0067816383547216405
6017.29,0.007012124052962973
6017.303,0.0073764879454241115
6017.316,0.007884921443534806
6017.329,0.008519342298125185
6017.342,0.00919263946981062
6017.355,0.009742060093997562
6017.368,0.010011043106833529
6017.381,0.009975906981387441
6017.394,0.009760254196064275
6017.407,0.009505106533641847
6017.42,0.009253379830910667
6017.433,0.008939408390953396
6017.446,0.00846803654063379
6017.459,0.007828256714478411
6017.472,0.007118430602226613
6017.485,0.006457946298329797
6017.498,0.005912011739652872
6017.511,0.005489474186066135
6017.524,0.005171077415524324
6017.537,0.004930640757775735
6017.55,0.004742604062908967
6017.563,0.004582617314100852
6017.576,0.004430976008464742
6017.589,0.004280033086885974
6017.602,0.004135598934914213
6017.615,0.004009164921898579
6017.628,0.003909815504996949
6017.641,0.0038415987951433473
6017.654,0.0038042907717637953
6017.667,0.003794017103656658
6017.68,0.003802421623055641
6017.693,0.003816219869818523
